Minerals,tags
Aggregates,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals,Construction Minerals"
Antimony,"Metallic Minerals,Non - Energy Minerals,Non Ferrous Metals"
Arsenic,"Metallic Minerals,Non - Energy Minerals,Non Ferrous Metals"
Asbestos,"Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Barytes,"Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Bauxite,"Metallic Minerals,Non - Energy Minerals,Non Ferrous Metals"
Bentonite And Fuller'S Earth,"Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Bismuth,"Metallic Minerals,Non - Energy Minerals,Non Ferrous Metals"
Bromine,"Non - Metallic Minerals,Non - Energy Minerals"
Cadmium,"Metallic Minerals,Non - Energy Minerals"
Cement,"Non - Metallic Minerals,Non - Energy Minerals,Non Ferrous Metals"
Chromium,"Metallic Minerals,Non - Energy Minerals,Ferrous and Ferro Alloy Metals"
Coal,"Non - Metallic Minerals,Energy Minerals"
Cobalt,"Metallic Minerals,Non - Energy Minerals,Ferrous and Ferro Alloy Metals"
Copper,"Metallic Minerals,Non - Energy Minerals,Non Ferrous Metals"
Diamond,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Diatomite,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Feldspar,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Fluorspar,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Gold,"Metallic Minerals,Non - Energy Minerals,Precious Metals"
Graphite,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Gypsum And Plaster,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals,Construction Minerals"
Iodine,"Non - Metallic Minerals,Non - Energy Minerals"
Iron Ore,"Metallic Minerals,Non - Energy Minerals"
Iron,"Metallic Minerals,Non - Energy Minerals"
Kaolin,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Lead,"Metallic Minerals,Non - Energy Minerals,Non Ferrous Metals"
Lithium,"Metallic Minerals,Non - Energy Minerals,Non Ferrous Metals"
Magnesite And Magnesia,"Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Manganese,"Metallic Minerals,Non - Energy Minerals,Ferrous and Ferro Alloy Metals"
Mercury,"Metallic Minerals,Non - Energy Minerals,Non Ferrous Metals"
Mica,"Non - Metallic Minerals,Non - Energy Minerals"
Molybdenum,"Metallic Minerals,Non - Energy Minerals,Ferrous and Ferro Alloy Metals"
Natural Gas,"Non - Metallic Minerals,Energy Minerals,Hydrocarbons"
Nepheline-syenite,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Nickel,"Metallic Minerals,Non - Energy Minerals,Ferrous and Ferro Alloy Metals"
"Petroleum, crude","Non - Metallic Minerals,Non - Energy Minerals,Hydrocarbons"
Phosphate Rock,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Platinum Group Metals,"Metallic Minerals,Non - Energy Minerals,Precious Metals"
Potash,"Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Rare Earths,"Metallic Minerals,Non - Energy Minerals,Rare Earth Minerals "
Salt,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Sillimanite Minerals,"Non - Metallic Minerals,Non - Energy Minerals"
Silver,"Metallic Minerals,Non - Energy Minerals,Precious Metals"
Sulphur and Pyrites,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
Talc,"Non - Metallic Minerals,Non - Energy Minerals,Industrial Minerals"
